,0.0,10.0,20.0,30.0,40.0,50.0,60.0,70.0,80.0,90.0,100.0
0,cg22242842,cg20119745,cg00329615,cg16867657,cg16867657,cg16867657,cg16867657,cg03575974,cg26764239,cg23115387,cg00764612
1,cg12419863,cg02650266,cg19344626,cg08160331,cg22454769,cg24724428,cg22454769,cg04208403,cg04778411,cg14672084,cg17084199
2,cg22114489,cg00791074,cg11807280,cg07553761,cg06639320,cg06639320,cg06639320,cg04875128,cg08160331,cg22483030,cg16251128
3,cg15951188,cg08702344,cg11693709,cg22454769,cg19283806,cg04875128,cg21572722,cg09705759,cg12848182,cg12821220,cg16254662
4,cg24024661,cg00193668,cg14577707,cg24079702,cg04875128,cg15341124,cg04875128,cg16037711,cg04016765,cg16494843,cg01820374
5,cg19283806,cg01812894,cg08262002,cg14556683,cg26685941,cg07553761,cg26685941,cg23953820,cg09456285,cg00286125,cg00748589
6,cg12530994,cg19578183,cg10501210,cg04453050,cg12934382,cg08154187,cg23500537,cg14379865,cg24273318,cg21469505,cg27095222
7,cg13033938,cg08262002,cg26921612,cg24366557,cg14361627,cg19283806,cg24436906,cg22452230,cg05445137,cg13138089,cg16270571
8,cg12423733,cg15803065,cg16867657,cg08957484,cg23798387,cg12537613,cg17110586,cg09036468,cg07929112,cg05445137,cg24987259
9,cg03054277,cg00448395,cg24892069,cg10906284,cg13033938,cg09391371,cg07553761,cg10266904,cg24892069,cg18964985,cg24662823
10,cg19421125,cg01294808,cg08128734,cg15254559,cg02924487,cg25348940,cg19283806,cg19283806,cg25047058,cg17806847,cg21051972
11,cg01282174,cg21469505,cg00602811,cg16419235,cg07553761,cg22454769,cg00059225,cg25013451,cg23255774,cg18705909,cg20892990
12,cg00764612,cg00329615,cg25413977,cg12765028,cg00103778,cg17220512,cg07945335,cg15290081,cg10026583,cg15553710,cg18587063
13,cg08415592,cg08128734,cg13278478,cg14620572,cg10501210,cg00094518,cg08554257,cg08453194,ch.7.3189261R,cg02187214,cg17592231
14,cg07568841,cg13278478,cg11649376,cg26057751,cg24724428,cg18129996,cg25410668,cg00602811,ch.1.227099949R,cg00808170,cg13119578
15,cg08957484,cg11649376,cg17343374,cg16519487,cg24079702,cg01244128,cg02352281,cg19727059,cg01019344,cg24493553,cg12711760
16,cg04542977,ch.14.1488981R,cg00573770,cg11071401,cg24711224,cg09241097,cg14556683,cg02035018,cg05803138,cg09099868,cg16300707
17,cg01883408,cg18407309,cg01812894,cg08616061,cg05412028,cg08617415,cg19392831,cg08097417,cg09770583,cg00298065,cg16244944
18,cg26381313,cg08468401,cg12079303,cg24436906,cg12419863,cg03304017,cg27533080,cg04404455,cg19002784,cg26350754,cg07869256
19,cg14010720,cg02625749,cg26290632,cg07923390,cg05404236,cg27219574,cg18222500,cg19961800,cg05397740,cg06685140,cg07892422
20,cg13327545,cg14166209,cg09809672,cg18667659,cg08097417,cg15032025,cg26608718,cg04407400,cg18154639,cg14239592,cg18473521
21,cg18501647,cg25428494,cg21878650,cg24369989,cg14556683,cg00487226,cg06432200,cg17983776,cg27549075,cg27572029,cg06071604
22,cg04999352,cg11142333,cg07806886,cg21139312,cg00664406,cg05010752,cg27470213,cg16290275,cg02172792,cg08616061,cg15553710
23,cg23115387,cg00891995,cg22454769,cg00688962,cg16882373,cg00106920,cg04416734,cg15068401,cg05248351,cg14464893,cg22358580
24,cg02553054,cg22986597,cg17621438,cg02352240,cg18473521,cg26874534,cg25533247,cg26110572,cg25844366,cg01966756,cg21990700
25,cg22894896,cg26921612,cg07797372,cg21488279,cg26921969,cg01242426,cg06285727,cg08051322,cg19885786,cg03329408,cg21232015
26,cg10804656,cg06086071,cg24724428,cg15608397,cg04265051,cg07770560,cg13784312,cg07352757,cg24162465,cg13327545,cg19722847
27,cg24369989,cg01719405,cg23126342,cg11524400,cg15355015,cg06008853,cg07178825,cg23990641,cg17931660,cg23612484,cg16881676
28,cg04295144,ch.15.67797584R,cg12610471,cg06933824,cg21467614,cg24693072,cg09988805,cg25742365,cg00198759,cg20525663,cg16105754
29,cg16882373,cg05045027,cg00193668,cg26078977,cg03738025,cg20284682,cg24223075,cg06209217,cg06026880,cg08248014,cg16618104
